Date Time (ET), Port of Albany D.O. (ppm),Norrie Point D.O. (ppm),Piermont D.O. (ppm), Port of Albany Turbidity in NTU,Norrie Point Turbidity in NTU,Piermont Turbidity in NTU
2011-09-04 10:00:00,8.83,6.83,,72.5,177.7,
2011-09-04 10:15:00,8.88,6.89,,71.3,163.8,
2011-09-04 10:30:00,8.85,7.01,,87.0,178.8,
2011-09-04 10:45:00,8.89,6.98,,82.9,189.4,
2011-09-04 11:00:00,8.87,6.93,,79.0,192.1,
2011-09-04 11:15:00,8.86,6.91,,90.5,183.9,
2011-09-04 11:30:00,8.84,6.94,,75.8,197.8,
2011-09-04 11:45:00,8.84,6.89,,73.1,183.2,
2011-09-04 12:00:00,8.85,6.88,,81.9,172.3,
2011-09-04 12:15:00,8.82,6.92,,80.0,174.5,
2011-09-04 12:30:00,8.78,6.94,,73.2,180.5,
2011-09-04 12:45:00,8.81,7.0,,74.9,167.4,
2011-09-04 13:00:00,8.86,6.88,,91.0,171.0,
2011-09-04 13:15:00,8.86,6.85,,77.5,169.9,
2011-09-04 13:30:00,8.79,6.86,,71.8,171.6,
2011-09-04 13:45:00,8.85,6.87,,87.1,177.0,
2011-09-04 14:00:00,8.83,6.89,,81.8,171.9,
2011-09-04 14:15:00,8.79,6.25,,82.2,175.6,
2011-09-04 14:30:00,8.77,6.77,,78.1,180.4,
2011-09-04 14:45:00,8.83,6.46,,84.1,185.9,
2011-09-04 15:00:00,8.82,6.65,,87.5,179.7,
2011-09-04 15:15:00,8.78,6.7,,87.0,191.1,
2011-09-04 15:30:00,8.76,6.81,,85.6,193.3,
2011-09-04 15:45:00,8.72,6.95,,85.9,187.8,
2011-09-04 16:00:00,8.71,6.94,,73.7,197.3,
2011-09-04 16:15:00,8.68,6.79,,74.6,218.3,
2011-09-04 16:30:00,8.72,6.89,,71.1,200.6,
2011-09-04 16:45:00,8.68,6.91,,73.7,205.5,
2011-09-04 17:00:00,8.73,6.92,,74.3,208.6,
2011-09-04 17:15:00,8.77,6.91,,79.6,213.8,
2011-09-04 17:30:00,8.73,6.85,,71.9,206.2,
2011-09-04 17:45:00,8.74,6.87,,72.0,200.3,
2011-09-04 18:00:00,8.74,6.81,,76.3,204.7,
2011-09-04 18:15:00,8.72,6.95,,71.2,201.9,
2011-09-04 18:30:00,8.73,6.92,,73.1,203.4,
2011-09-04 18:45:00,8.7,6.86,,71.7,191.0,
2011-09-04 19:00:00,8.69,6.8,,69.0,185.9,
2011-09-04 19:15:00,8.64,6.71,,77.8,166.7,
2011-09-04 19:30:00,8.59,6.61,,81.3,174.2,
2011-09-04 19:45:00,8.59,6.82,,81.8,157.7,
2011-09-04 20:00:00,8.57,6.85,,70.9,176.6,
2011-09-04 20:15:00,8.6,6.94,,67.6,169.3,
2011-09-04 20:30:00,8.69,6.93,,82.9,175.4,
2011-09-04 20:45:00,8.62,6.94,,56.8,180.0,
2011-09-04 21:00:00,8.63,6.88,,75.0,174.1,
2011-09-04 21:15:00,8.61,6.96,,75.7,183.8,
2011-09-04 21:30:00,8.6,6.87,,65.6,188.2,
2011-09-04 21:45:00,8.59,6.9,,81.9,191.2,
2011-09-04 22:00:00,8.59,6.91,,74.7,200.8,
2011-09-04 22:15:00,8.7,6.89,,66.7,197.5,
2011-09-04 22:30:00,8.68,6.87,,75.3,203.9,
2011-09-04 22:45:00,8.71,6.8,,81.3,203.5,
2011-09-04 23:00:00,8.71,6.84,,74.8,197.6,
2011-09-04 23:15:00,8.68,6.82,,78.7,201.6,
2011-09-04 23:30:00,8.71,6.83,,81.2,202.4,
2011-09-04 23:45:00,8.71,6.81,,68.0,186.2,
2011-09-05 00:00:00,8.69,6.82,,73.6,192.7,
2011-09-05 00:15:00,8.64,6.79,,61.9,199.6,
2011-09-05 00:30:00,8.6,6.77,,66.7,195.3,
2011-09-05 00:45:00,8.73,6.72,,73.1,199.0,
2011-09-05 01:00:00,8.71,6.53,,77.8,168.6,
2011-09-05 01:15:00,8.67,6.45,,68.1,189.5,
2011-09-05 01:30:00,8.74,6.42,,65.2,201.7,
2011-09-05 01:45:00,8.73,6.58,,64.7,200.9,
2011-09-05 02:00:00,8.69,6.66,,63.0,206.4,
2011-09-05 02:15:00,8.75,6.56,,63.2,200.0,
2011-09-05 02:30:00,8.7,6.81,,70.5,195.8,
2011-09-05 02:45:00,8.74,6.73,,72.6,175.7,
2011-09-05 03:00:00,8.75,6.75,,71.3,169.6,
2011-09-05 03:15:00,8.62,6.75,,66.6,161.3,
2011-09-05 03:30:00,8.64,6.91,,60.3,172.3,
2011-09-05 03:45:00,8.65,6.47,,61.7,173.4,
2011-09-05 04:00:00,8.61,6.69,,61.0,167.6,
2011-09-05 04:15:00,8.62,6.84,,61.5,175.4,
2011-09-05 04:30:00,8.62,6.89,,58.9,164.1,
2011-09-05 04:45:00,8.57,6.81,,58.2,167.9,
2011-09-05 05:00:00,8.59,6.82,,67.6,168.6,
2011-09-05 05:15:00,8.52,6.8,,59.2,160.6,
2011-09-05 05:30:00,8.57,6.79,,64.5,165.7,
2011-09-05 05:45:00,8.61,6.91,,60.5,166.9,
2011-09-05 06:00:00,8.6,6.93,,65.0,170.8,
2011-09-05 06:15:00,8.65,6.92,,66.8,168.8,
2011-09-05 06:30:00,8.6,6.92,,57.1,171.2,
2011-09-05 06:45:00,8.6,6.87,,58.2,169.1,
2011-09-05 07:00:00,8.58,6.81,,57.7,165.8,
2011-09-05 07:15:00,8.51,6.87,,55.0,162.6,
2011-09-05 07:30:00,8.63,6.82,,57.1,162.2,
2011-09-05 07:45:00,8.67,6.78,,56.9,140.2,
2011-09-05 08:00:00,8.69,6.74,,56.0,163.2,
2011-09-05 08:15:00,8.64,6.32,,53.9,119.3,
2011-09-05 08:30:00,8.66,5.91,,54.3,117.9,
2011-09-05 08:45:00,8.71,6.65,,64.8,144.5,
2011-09-05 09:00:00,8.7,6.7,,58.4,138.8,
2011-09-05 09:15:00,8.71,6.75,,56.2,143.3,
2011-09-05 09:30:00,8.71,6.77,,66.1,136.5,
2011-09-05 09:45:00,8.77,6.8,,57.5,156.4,
2011-09-05 10:00:00,8.7,6.75,,63.8,147.8,
2011-09-05 10:15:00,8.63,6.79,,58.0,155.0,
2011-09-05 10:30:00,8.69,6.82,,56.4,161.5,
2011-09-05 10:45:00,8.73,6.77,,61.8,157.1,
2011-09-05 11:00:00,8.71,6.74,,63.1,161.0,
2011-09-05 11:15:00,8.7,6.72,,60.3,150.3,
2011-09-05 11:30:00,8.68,6.74,,60.0,154.4,
2011-09-05 11:45:00,8.65,6.78,,63.7,170.5,
2011-09-05 12:00:00,8.63,6.82,,61.6,151.5,
2011-09-05 12:15:00,8.69,6.8,,65.3,153.3,
2011-09-05 12:30:00,8.7,6.75,,63.5,166.5,
2011-09-05 12:45:00,8.58,6.79,,62.0,161.3,
2011-09-05 13:00:00,8.68,6.82,,60.9,152.6,
2011-09-05 13:15:00,8.65,6.78,,53.6,144.6,
2011-09-05 13:30:00,8.65,6.69,,59.3,149.9,
2011-09-05 13:45:00,8.59,6.75,,53.3,124.6,
2011-09-05 14:00:00,8.67,6.67,,53.1,135.7,
2011-09-05 14:15:00,8.58,6.61,,56.3,142.0,
2011-09-05 14:30:00,8.65,6.5,,52.3,148.9,
2011-09-05 14:45:00,8.63,6.67,,58.4,138.6,
2011-09-05 15:00:00,8.55,6.71,,52.9,142.5,
2011-09-05 15:15:00,8.56,6.63,,48.3,133.7,
2011-09-05 15:30:00,8.61,6.78,,58.5,139.4,
2011-09-05 15:45:00,8.6,6.73,,61.0,148.3,
2011-09-05 16:00:00,8.64,6.62,,60.2,147.7,
2011-09-05 16:15:00,8.6,6.64,,67.4,151.5,
2011-09-05 16:30:00,8.63,6.7,,66.4,147.1,
2011-09-05 16:45:00,8.6,6.64,,51.2,158.0,
2011-09-05 17:00:00,8.66,6.83,,66.4,153.1,
2011-09-05 17:15:00,8.67,6.89,,66.5,149.7,
2011-09-05 17:30:00,8.6,6.8,,55.3,157.8,
2011-09-05 17:45:00,8.64,6.89,,58.1,155.9,
2011-09-05 18:00:00,8.73,6.84,,65.5,154.3,
2011-09-05 18:15:00,8.7,6.9,,58.8,153.8,
2011-09-05 18:30:00,8.75,6.82,,62.9,163.4,
2011-09-05 18:45:00,8.75,6.88,,60.1,158.4,
2011-09-05 19:00:00,8.77,6.82,,68.7,158.6,
2011-09-05 19:15:00,8.84,6.84,,59.7,143.9,
2011-09-05 19:30:00,8.87,6.79,,53.0,147.3,
2011-09-05 19:45:00,8.85,6.68,,53.2,139.3,
2011-09-05 20:00:00,8.79,6.79,,51.8,148.8,
2011-09-05 20:15:00,8.72,6.76,,59.2,142.0,
2011-09-05 20:30:00,8.88,6.55,,45.1,146.1,
2011-09-05 20:45:00,8.82,6.65,,54.9,150.8,
2011-09-05 21:00:00,8.79,6.78,,45.4,147.6,
2011-09-05 21:15:00,8.79,6.83,,50.2,134.8,
2011-09-05 21:30:00,8.79,6.8,,45.6,148.8,
2011-09-05 21:45:00,8.81,6.78,,50.3,143.8,
2011-09-05 22:00:00,8.8,6.76,,52.7,138.0,
2011-09-05 22:15:00,8.76,6.8,,47.3,143.0,
2011-09-05 22:30:00,8.77,6.81,,58.5,141.4,
2011-09-05 22:45:00,8.73,6.84,,47.2,144.1,
2011-09-05 23:00:00,8.76,6.78,,56.7,139.7,
2011-09-05 23:15:00,8.66,6.83,,47.0,141.2,
2011-09-05 23:30:00,8.75,6.79,,48.7,127.9,
2011-09-05 23:45:00,8.68,6.78,,49.5,149.0,
